step,gleu,accuracy
0,0.5060839774048133,0.5072415478845854
100,0.5123021457217564,0.5268500952682661
200,0.5119014894104289,0.5226833989100557
300,0.5128033550950456,0.5212134744791256
400,0.512405946386846,0.524380182460285
500,0.5129458034489672,0.5264174782824119
600,0.5119611089986319,0.5277903021719902
700,0.5121701636009458,0.5278020770026669
800,0.5106697711043381,0.5297816201537351
900,0.511902822598911,0.5287954694200995
step,gleu,accuracy
900,0.511902822598911,0.5287954694200995
1000,0.5110169974944879,0.52727757585299
1100,0.5102490101937717,0.5272851255300854
1200,0.509486775837291,0.5257855486300093
1300,0.510859511193109,0.5289557750979512
1400,0.5092232924022553,0.5297854368795439
1500,0.5107074315909467,0.5257335122645032
1600,0.5101727734602476,0.5281090933201021
1700,0.510444032825146,0.5248769627024866
1800,0.5117335229357548,0.5272674281298466
1900,0.5118524382865336,0.525823904628947
